ID,Name,Value
CP02PMUI-WF001-04-FLORTK999_ID_CL1,cc_dark_counts_cdom,43
CP02PMUI-WF001-04-FLORTK999,cc_scale_factor_cdom,0.092
CP02PMUI-WF001-04-FLORTK999,cc_dark_counts_chlorophyll_a,51
CP02PMUI-WF001-04-FLORTK999,cc_scale_factor_chlorophyll_a,0.0122
CP02PMUI-WF001-04-FLORTK999,cc_dark_counts_volume_scatter,48
CP02PMUI-WF001-04-FLORTK999,cc_scale_factor_volume_scatter,0.00000212
CP02PMUI-WF001-05-PARADK999,cc_dark_offset,1.3
CP02PMUI-WF001-05-PARADK999,cc_scale_wet,9.98E-18
CP02PMUI-WF001-03-CTDPFK999,cc_latitude,40.37
CP02PMUI-WF001-03-CTDPFK999,cc_longitude,-70.78
CP02PMUI-RI001-01-ADCPTG999,cc_latitude,40.37
CP02PMUI-RI001-01-ADCPTG999,cc_longitude,-70.78
CP02PMUI-RI001-01-ADCPTG999,cc_depth,950
CP02PMUO-WF001-04-FLORTK999,cc_dark_counts_cdom,49
CP02PMUO-WF001-04-FLORTK999,cc_scale_factor_cdom,0.09
CP02PMUO-WF001-04-FLORTK999,cc_dark_counts_chlorophyll_a,49
CP02PMUO-WF001-04-FLORTK999,cc_scale_factor_chlorophyll_a,0.0121
CP02PMUO-WF001-04-FLORTK999,cc_dark_counts_volume_scatter,49
CP02PMUO-WF001-04-FLORTK999,cc_scale_factor_volume_scatter,0.000003259
CP02PMUO-WF001-05-PARADK999,cc_dark_offset,1.0
CP02PMUO-WF001-05-PARADK999,cc_scale_wet,1.01E-17
CP02PMUO-WF001-03-CTDPFK999,cc_latitude,39.94
CP02PMUO-WF001-03-CTDPFK999,cc_longitude,-70.78
CP02PMUO-RI001-01-ADCPSL999,cc_latitude,39.94
CP02PMUO-RI001-01-ADCPSL999,cc_longitude,-70.78
CP02PMUO-RI001-01-ADCPSL999,cc_depth,4520
