ID,Ignore,Attribute,Name,Value,Type,Comment
CP02PMUO Deployment 11/2013,,,,,,
CP02PMUO-WP001_PD,,,serial_number,12936-01,str,First article PMUO (with data for a few days)
CP02PMUO-SB001_PD,Yes,,serial_number,,str,
CP02PMUO-SB001_MOPAK,,,serial_number,35980,str,Motion Ocean Server
CP02PMUO-SB001_STC,,,serial_number,70001654,str,IMM SeaBird
CP02PMUO-RI001_PD,Yes,,serial_number,,str,
CP02PMUO-RI001-01-ADCPSL999_ID,Yes,,serial_number,,str,
CP02PMUO-WF001_PD,Yes,,serial_number,,str,
CP02PMUO-WF001-01-VEL3DK999_ID,,,serial_number,100003,str,ACM NortekAquaDoppII
CP02PMUO-WF001-02-DOFSTK999_ID,,,serial_number,43-2397,str,DO 43F
CP02PMUO-WF001-03-CTDPFK999_ID,,,serial_number,106,str,CTD CAL Files SBE52
CP02PMUO-WF001-04-FLORTK999_ID,,,serial_number,969,str,BBFL2 Cal files
CP02PMUO-WF001-05-PARADK999_ID,,,serial_number,20423,str,PAR QSP 2200
,,,,,,
CP02PMUI Deployment 11/2013,,,,,,
CP02PMUI-WP001_PD,,,serial_number,12991-01,str,
CP02PMUI-SB001_PD,Yes,,serial_number,,str,
CP02PMUI-SB001_MOPAK,,,serial_number,24112,str,
CP02PMUI-SB001_STC,,,serial_number,70001772,str,
CP02PMUI-RI001_PD,Yes,,serial_number,,str,
CP02PMUI-RI001-01-ADCPTG999_ID,Yes,,serial_number,,str,
CP02PMUI-WF001_PD,Yes,,serial_number,,str,
CP02PMUI-WF001-01-VEL3DK999_ID,,,serial_number,100015,str,
CP02PMUI-WF001-02-DOFSTK999_ID,,,serial_number,43-2497,str,
CP02PMUI-WF001-03-CTDPFK999_ID,,,serial_number,111,str,
CP02PMUI-WF001-04-FLORTK999_ID,,,serial_number,1029,str,
CP02PMUI-WF001-05-PARADK999_ID,,,serial_number,20437,str,
,,,,,,
CP02PMCI Deployment 04/2014,,,,,,
CP02PMCI-WP001_PD,,,serial_number,ML13103-02,str,
CP02PMCI-SB001_PD,Yes,,serial_number,,str,
CP02PMCI-SB001_MOPAK,,,serial_number,27200,str,
CP02PMCI-SB001_STC,,,serial_number,70001983,str,
CP02PMCI-RI001_PD,Yes,,serial_number,,str,
CP02PMCI-RI001-01-ADCPTG999_ID,Yes,,serial_number,,str,
CP02PMCI-WF001_PD,Yes,,serial_number,,str,
CP02PMCI-WF001-01-VEL3DK999_ID,,,serial_number,100037,str,
CP02PMCI-WF001-02-DOFSTK999_ID,,,serial_number,43-2724,str,
CP02PMCI-WF001-03-CTDPFK999_ID,,,serial_number,125,str,
CP02PMCI-WF001-04-FLORTK999_ID,,,serial_number,1119,str,
CP02PMCI-WF001-05-PARADK999_ID,,,serial_number,20465,str,
,,,,,,
CP02PMCO Deployment 04/2014,,,,,,
CP02PMCO-WP001_PD,,,serial_number,ML13103-01,str,
CP02PMCO-SB001_PD,Yes,,serial_number,,str,
CP02PMCO-SB001_MOPAK,,,serial_number,27203,str,
CP02PMCO-SB001_STC,,,serial_number,70001993,str,
CP02PMCO-RI001_PD,Yes,,serial_number,,str,
CP02PMCO-RI001-01-ADCPTG999_ID,Yes,,serial_number,,str,
CP02PMCO-WF001_PD,Yes,,serial_number,,str,
CP02PMCO-WF001-01-VEL3DK999_ID,,,serial_number,100035,str,
CP02PMCO-WF001-02-DOFSTK999_ID,,,serial_number,43-2708,str,
CP02PMCO-WF001-03-CTDPFK999_ID,,,serial_number,124,str,
CP02PMCO-WF001-04-FLORTK999_ID,,,serial_number,1117,str,
CP02PMCO-WF001-05-PARADK999_ID,,,serial_number,20464,str,
,,,,,,
CP04OSPM Deployment 04/2014,,,,,,
CP04OSPM-WP001_PD,,,serial_number,ML13103-03,str,
CP04OSPM-SB001_PD,Yes,,serial_number,,str,
CP04OSPM-SB001_MOPAK,,,serial_number,27202,str,
CP04OSPM-SB001_STC,,,serial_number,70001987,str,
CP04OSPM-RI001_PD,Yes,,serial_number,,str,
CP04OSPM-RI001-01-ADCPTG999_ID,Yes,,serial_number,,str,
CP04OSPM-WF001_PD,Yes,,serial_number,,str,
CP04OSPM-WF001-01-VEL3DK999_ID,,,serial_number,100036,str,
CP04OSPM-WF001-02-DOFSTK999_ID,,,serial_number,43-2725,str,
CP04OSPM-WF001-03-CTDPFK999_ID,,,serial_number,126,str,
CP04OSPM-WF001-04-FLORTK999_ID,,,serial_number,1118,str,
CP04OSPM-WF001-05-PARADK999_ID,,,serial_number,20468,str,
,,,,,,
CE09OSPM Deployment 04/2014,,,,,,
CE09OSPM-WP001_PD,,,serial_number,ML12991-03,str,
CE09OSPM-SB001_PD,Yes,,serial_number,,str,
CE09OSPM-SB001_MOPAK,,,serial_number,37328,str,
CE09OSPM-SB001_STC,,,serial_number,70001770,str,
CE09OSPM-RI001_PD,Yes,,serial_number,,str,
CE09OSPM-RI001-01-ADCPTG999_ID,Yes,,serial_number,,str,
CE09OSPM-WF001_PD,Yes,,serial_number,,str,
CE09OSPM-WF001-01-VEL3DK999_ID,,,serial_number,100014,str,
CE09OSPM-WF001-02-DOFSTK999_ID,,,serial_number,43-2496,str,
CE09OSPM-WF001-03-CTDPFK999_ID,,,serial_number,110,str,
CE09OSPM-WF001-04-FLORTK999_ID,,,serial_number,1030,str,
CE09OSPM-WF001-05-PARADK999_ID,,,serial_number,20438,str,
,,,,,,
CP02PMUO Deployment 04/2014,,,,,,
CP02PMUO-WP001_PD_CL1,,,serial_number,ML13103-04,str,
CP02PMUO-SB001_PD_CL1,Yes,,serial_number,,str,
CP02PMUO-SB001_MOPAK,,,serial_number,27204,str,
CP02PMUO-SB001_STC,,,serial_number,70001991,str,
CP02PMUO-RI001_PD_CL1,Yes,,serial_number,,str,
CP02PMUO-RI001-01-ADCPSL999_ID_CL1,Yes,,serial_number,,str,
CP02PMUO-WF001_PD_CL1,Yes,,serial_number,,str,
CP02PMUO-WF001-01-VEL3DK999_ID_CL1,,,serial_number,100033,str,
CP02PMUO-WF001-02-DOFSTK999_ID_CL1,,,serial_number,43-2726,str,
