ID,Harvester Config,Parser Config,Records Per Granule
CP02PMCI-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMCI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCI-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCI-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCI-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCI-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCI-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/X00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMCO-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMCO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCO-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCO-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCO-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCO-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCO-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/X00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMUI-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUI-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUI-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMUO-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUO-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUO-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP04OSPM-WF001,"directory: /whoi/cg_whoi/OMC/CP04OSPM/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP04OSPM-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP04OSPM-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP04OSPM-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
