ID,Name,Value
CP02PMUI-WF001-04-FLORTK999,cc_dark_counts_cdom,50
CP02PMUI-WF001-04-FLORTK999,cc_scale_factor_cdom,0.0907
CP02PMUI-WF001-04-FLORTK999,cc_dark_counts_chlorophyll_a,53
CP02PMUI-WF001-04-FLORTK999,cc_scale_factor_chlorophyll_a,0.0121
CP02PMUI-WF001-04-FLORTK999,cc_dark_counts_volume_scatter,50
CP02PMUI-WF001-04-FLORTK999,cc_scale_factor_volume_scatter,3.49E-06
CP02PMUI-WF001-05-PARADK999,cc_dark_offset,1.5
CP02PMUI-WF001-05-PARADK999,cc_scale_wet,1.10E-17
CP02PMUO-WF001-04-FLORTK999,cc_dark_counts_cdom,53
CP02PMUO-WF001-04-FLORTK999,cc_scale_factor_cdom,0.0911
CP02PMUO-WF001-04-FLORTK999,cc_dark_counts_chlorophyll_a,52
CP02PMUO-WF001-04-FLORTK999,cc_scale_factor_chlorophyll_a,0.0121
CP02PMUO-WF001-04-FLORTK999,cc_dark_counts_volume_scatter,49
CP02PMUO-WF001-04-FLORTK999,cc_scale_factor_volume_scatter,3.356E-06
CP02PMUO-WF001-05-PARADK999,cc_dark_offset,1.2
CP02PMUO-WF001-05-PARADK999,cc_scale_wet,9.96E-18
